country,harvest_date,vegetable,price,available_stock,daily_demand,freshness_age,shelf_life_days,remaining_life,supply_demand_gap,wastage_risk
Sri Lanka,2024-05-25,Cabbage,79.34,380,42,19,23,4,338,Medium
India,2024-01-20,Potato,23.92,478,260,3,11,8,218,Low
Sri Lanka,2024-02-16,Onion,74.85,337,65,6,21,15,272,Low
India,2024-12-03,Potato,169.01,537,301,7,16,9,236,Low
Sri Lanka,2024-06-08,Potato,124.35,488,81,14,25,11,407,Low
Sri Lanka,2024-01-21,Tomato,120.36,186,113,13,26,13,73,Low
India,2024-03-03,Potato,63.18,100,158,21,28,7,-58,Low
India,2024-10-05,Carrot,95.81,108,375,12,18,6,-267,Low
Sri Lanka,2024-04-24,Cauliflower,50.01,367,48,8,18,10,319,Low
India,2024-11-16,Cauliflower,199.82,292,496,11,26,15,-204,Low
India,2024-01-07,Beans,59.33,359,271,14,19,5,88,Medium
India,2024-03-21,Onion,120.67,505,395,1,11,10,110,Low
India,2024-07-10,Tomato,121.74,85,238,0,28,28,-153,Low
Sri Lanka,2024-08-18,Carrot,35.64,391,355,4,24,20,36,Low
India,2024-09-20,Brinjal,121.97,234,93,10,11,1,141,High
Sri Lanka,2024-06-23,Beans,149.78,198,115,0,6,6,83,Low
India,2024-06-16,Beans,179.5,354,270,4,5,1,84,High
India,2024-08-12,Carrot,185.0,60,59,5,11,6,1,Low
Sri Lanka,2024-05-22,Potato,121.76,331,42,3,6,3,289,Medium
India,2024-09-17,Beans,84.3,384,302,7,27,20,82,Low
Sri Lanka,2024-03-19,Beans,166.36,515,62,17,22,5,453,Medium
India,2024-06-07,Beans,161.85,218,271,7,22,15,-53,Low
India,2024-11-29,Onion,168.9,68,446,2,7,5,-378,Medium
Sri Lanka,2024-07-20,Cauliflower,192.03,221,484,12,18,6,-263,Low
India,2024-05-23,Okra,25.15,541,52,25,26,1,489,High
Sri Lanka,2024-09-06,Green Chilli,184.69,423,58,5,20,15,365,Low
Sri Lanka,2024-10-25,Cauliflower,197.54,90,251,8,14,6,-161,Low
Sri Lanka,2024-11-02,Beans,134.28,273,492,0,5,5,-219,Medium
Sri Lanka,2024-08-16,Brinjal,182.78,75,434,5,6,1,-359,Medium
India,2024-10-09,Cauliflower,78.11,576,104,4,9,5,472,Medium
Sri Lanka,2024-08-20,Cauliflower,78.97,569,211,12,19,7,358,Low
Sri Lanka,2024-11-07,Green Chilli,110.17,225,407,4,12,8,-182,Low
Sri Lanka,2024-01-01,Tomato,184.6,122,400,20,24,4,-278,Medium
Sri Lanka,2024-10-11,Brinjal,121.49,313,182,18,23,5,131,Medium
India,2024-02-03,Cabbage,112.48,444,376,11,21,10,68,Low
India,2024-09-20,Cabbage,107.34,357,332,6,12,6,25,Low
Sri Lanka,2024-10-23,Brinjal,152.56,125,34,14,23,9,91,Low
Sri Lanka,2024-04-23,Cauliflower,168.59,435,217,3,11,8,218,Low
Sri Lanka,2024-01-06,Cauliflower,21.72,484,247,0,7,7,237,Low
India,2024-11-22,Carrot,97.25,599,286,3,7,4,313,Medium
India,2024-07-27,Potato,192.84,66,333,7,23,16,-267,Low
India,2024-09-22,Brinjal,49.63,440,184,15,18,3,256,Medium
Sri Lanka,2024-03-21,Potato,177.11,68,73,2,12,10,-5,Low
Sri Lanka,2024-01-22,Carrot,43.73,306,494,15,27,12,-188,Low
India,2024-08-27,Okra,194.61,54,229,1,10,9,-175,Low
India,2024-11-10,Tomato,99.0,333,440,5,14,9,-107,Low
Sri Lanka,2024-07-24,Cabbage,144.38,253,236,5,13,8,17,Low
Sri Lanka,2024-04-26,Green Chilli,115.74,276,60,2,9,7,216,Low
Sri Lanka,2024-03-15,Potato,120.84,160,284,13,21,8,-124,Low
Sri Lanka,2024-12-13,Tomato,184.34,69,203,14,19,5,-134,Medium
Sri Lanka,2024-09-04,Cauliflower,131.57,563,346,15,22,7,217,Low
Sri Lanka,2024-07-11,Green Chilli,153.67,481,366,2,17,15,115,Low
Sri Lanka,2024-12-13,Cauliflower,138.89,381,115,8,25,17,266,Low
India,2024-12-23,Cauliflower,69.09,485,380,8,15,7,105,Low
India,2024-01-20,Carrot,167.43,95,392,6,7,1,-297,Medium
India,2024-10-09,Potato,152.75,215,120,4,6,2,95,High
India,2024-03-04,Beans,95.39,397,299,16,19,3,98,Medium
Sri Lanka,2024-10-21,Tomato,40.2,95,97,6,15,9,-2,Low
India,2024-07-31,Beans,53.32,513,193,11,17,6,320,Low
Sri Lanka,2024-04-20,Cauliflower,98.1,448,110,17,21,4,338,Medium
Sri Lanka,2024-04-15,Okra,27.72,305,256,7,21,14,49,Low
India,2024-05-09,Onion,172.46,578,281,16,27,11,297,Low
India,2024-03-17,Beans,113.03,482,352,25,29,4,130,Medium
India,2024-06-27,Onion,70.49,138,381,5,23,18,-243,Low
Sri Lanka,2024-01-15,Onion,158.64,236,175,3,10,7,61,Low
Sri Lanka,2024-11-03,Green Chilli,130.34,351,303,1,28,27,48,Low
Sri Lanka,2024-04-15,Brinjal,124.92,213,499,9,24,15,-286,Low
India,2024-01-28,Tomato,96.19,396,177,4,16,12,219,Low
Sri Lanka,2024-02-22,Onion,174.51,491,74,4,18,14,417,Low
Sri Lanka,2024-07-01,Tomato,106.18,492,139,7,11,4,353,Medium
Sri Lanka,2024-04-15,Okra,103.05,400,389,20,27,7,11,Low
Sri Lanka,2024-01-21,Potato,51.85,519,448,8,18,10,71,Low
Sri Lanka,2024-06-14,Cauliflower,25.53,89,133,11,15,4,-44,Medium
Sri Lanka,2024-04-25,Onion,35.9,275,114,3,25,22,161,Low
India,2024-11-17,Okra,55.71,514,480,0,17,17,34,Low
Sri Lanka,2024-06-13,Onion,84.18,335,452,8,21,13,-117,Low
Sri Lanka,2024-12-19,Onion,51.3,318,55,13,28,15,263,Low
Sri Lanka,2024-05-12,Cauliflower,127.9,580,440,0,5,5,140,Medium
India,2024-03-18,Potato,170.23,178,306,4,5,1,-128,Medium
Sri Lanka,2024-08-01,Cauliflower,81.3,165,463,5,6,1,-298,Medium
Sri Lanka,2024-08-03,Carrot,67.07,549,202,16,24,8,347,Low
Sri Lanka,2024-06-21,Green Chilli,45.53,258,181,7,18,11,77,Low
Sri Lanka,2024-12-28,Carrot,187.39,186,258,9,23,14,-72,Low
India,2024-11-28,Beans,117.38,141,355,13,20,7,-214,Low
Sri Lanka,2024-09-23,Green Chilli,63.6,593,143,4,10,6,450,Low
Sri Lanka,2024-06-15,Green Chilli,99.67,319,65,6,7,1,254,High
India,2024-11-02,Beans,95.5,454,73,13,16,3,381,Medium
India,2024-09-19,Okra,151.68,53,77,6,7,1,-24,Medium
India,2024-09-07,Potato,51.84,581,162,8,19,11,419,Low
Sri Lanka,2024-05-17,Green Chilli,114.48,363,426,2,19,17,-63,Low
India,2024-03-29,Tomato,172.42,420,451,3,26,23,-31,Low
India,2024-02-24,Potato,44.24,138,210,4,17,13,-72,Low
India,2024-01-04,Onion,136.31,299,200,7,13,6,99,Low
India,2024-09-13,Brinjal,157.81,376,470,5,18,13,-94,Low
India,2024-01-12,Tomato,25.06,353,84,1,15,14,269,Low
Sri Lanka,2024-12-17,Brinjal,44.22,168,450,15,20,5,-282,Medium
Sri Lanka,2024-01-29,Onion,69.9,376,107,4,6,2,269,High
Sri Lanka,2024-09-27,Green Chilli,178.61,472,97,8,10,2,375,High
Sri Lanka,2024-12-27,Tomato,146.46,64,149,0,6,6,-85,Low
Sri Lanka,2024-03-02,Tomato,131.22,415,106,0,6,6,309,Low
India,2024-05-06,Green Chilli,154.83,77,145,5,16,11,-68,Low
India,2024-01-08,Cauliflower,121.67,527,231,1,14,13,296,Low
India,2024-07-05,Green Chilli,62.27,594,46,15,24,9,548,Low
Sri Lanka,2024-09-15,Onion,126.16,78,342,9,24,15,-264,Low
India,2024-10-08,Carrot,129.86,280,107,9,15,6,173,Low
Sri Lanka,2024-05-23,Brinjal,138.72,503,187,6,21,15,316,Low
Sri Lanka,2024-04-01,Cabbage,129.02,102,167,15,21,6,-65,Low
India,2024-04-22,Cabbage,91.84,181,320,23,28,5,-139,Medium
Sri Lanka,2024-03-23,Cauliflower,84.79,235,45,18,19,1,190,High
India,2024-12-19,Cauliflower,126.2,573,323,5,18,13,250,Low
India,2024-09-27,Onion,147.7,86,379,0,10,10,-293,Low
India,2024-09-06,Green Chilli,147.06,470,189,2,9,7,281,Low
Sri Lanka,2024-07-08,Cauliflower,69.05,278,286,6,22,16,-8,Low
India,2024-03-12,Cauliflower,98.13,58,475,2,23,21,-417,Low
Sri Lanka,2024-11-10,Beans,30.02,380,378,20,26,6,2,Low
India,2024-03-04,Green Chilli,95.26,481,368,3,28,25,113,Low
India,2024-02-09,Cabbage,49.89,66,424,8,10,2,-358,Medium
Sri Lanka,2024-10-10,Brinjal,33.57,159,434,6,14,8,-275,Low
India,2024-06-10,Potato,31.68,559,186,16,25,9,373,Low
India,2024-07-14,Onion,188.16,302,399,0,25,25,-97,Low
India,2024-06-03,Brinjal,46.8,555,166,3,6,3,389,Medium
Sri Lanka,2024-05-03,Tomato,89.88,378,422,4,8,4,-44,Medium
Sri Lanka,2024-10-16,Okra,184.65,197,389,7,13,6,-192,Low
Sri Lanka,2024-04-24,Tomato,185.98,400,230,0,5,5,170,Medium
India,2024-07-03,Beans,115.89,128,212,4,18,14,-84,Low
India,2024-07-26,Cauliflower,89.36,525,102,2,20,18,423,Low
India,2024-06-25,Tomato,164.69,319,259,5,7,2,60,Medium
India,2024-09-08,Onion,94.78,332,314,1,17,16,18,Low
Sri Lanka,2024-06-22,Cauliflower,146.13,331,320,12,19,7,11,Low
Sri Lanka,2024-02-25,Green Chilli,51.51,347,270,21,22,1,77,Medium
Sri Lanka,2024-03-18,Cabbage,149.75,245,109,3,7,4,136,Medium
India,2024-02-07,Green Chilli,197.64,234,299,14,26,12,-65,Low
Sri Lanka,2024-03-08,Potato,94.61,339,78,2,17,15,261,Low
Sri Lanka,2024-03-29,Potato,60.89,299,460,7,13,6,-161,Low
Sri Lanka,2024-01-25,Cabbage,185.72,361,288,4,6,2,73,Medium
India,2024-07-26,Cabbage,33.36,450,239,4,5,1,211,High
Sri Lanka,2024-10-17,Cauliflower,112.49,524,459,6,7,1,65,Medium
India,2024-04-18,Green Chilli,70.23,409,308,14,21,7,101,Low
India,2024-06-17,Beans,147.87,350,56,8,16,8,294,Low
Sri Lanka,2024-07-11,Beans,135.53,264,392,0,22,22,-128,Low
Sri Lanka,2024-05-18,Brinjal,26.7,79,322,4,16,12,-243,Low
India,2024-09-27,Potato,171.5,108,476,4,15,11,-368,Low
Sri Lanka,2024-11-20,Okra,35.59,339,448,1,24,23,-109,Low
India,2024-04-30,Beans,186.8,541,297,25,28,3,244,Medium
India,2024-06-04,Carrot,35.13,562,491,9,28,19,71,Low
Sri Lanka,2024-01-22,Brinjal,44.38,290,92,17,27,10,198,Low
Sri Lanka,2024-01-10,Carrot,37.98,317,348,27,29,2,-31,Medium
Sri Lanka,2024-03-13,Tomato,134.72,103,118,23,25,2,-15,Medium
India,2024-01-05,Carrot,105.34,341,295,1,6,5,46,Medium
Sri Lanka,2024-08-26,Cabbage,23.94,233,230,10,23,13,3,Low
India,2024-05-11,Green Chilli,73.06,347,228,18,20,2,119,High
India,2024-02-03,Cauliflower,94.52,147,261,2,6,4,-114,Medium
Sri Lanka,2024-05-04,Carrot,101.26,421,290,25,27,2,131,High
India,2024-03-11,Brinjal,84.98,99,304,21,25,4,-205,Medium
India,2024-08-13,Cabbage,148.26,103,218,8,25,17,-115,Low
India,2024-10-19,Cauliflower,101.45,98,410,0,22,22,-312,Low
India,2024-09-06,Okra,145.28,306,217,3,20,17,89,Low
India,2024-06-26,Beans,157.86,100,180,0,15,15,-80,Low
India,2024-05-02,Beans,52.58,173,358,22,24,2,-185,Medium
India,2024-04-16,Cauliflower,33.81,334,457,19,29,10,-123,Low
India,2024-07-18,Okra,188.0,234,115,23,26,3,119,Medium
Sri Lanka,2024-06-16,Onion,109.79,59,470,4,6,2,-411,Medium
India,2024-10-24,Onion,59.46,249,329,6,12,6,-80,Low
Sri Lanka,2024-07-14,Tomato,49.71,404,54,10,19,9,350,Low
India,2024-05-26,Onion,168.33,153,86,8,16,8,67,Low
Sri Lanka,2024-04-15,Beans,85.25,400,102,1,25,24,298,Low
Sri Lanka,2024-11-21,Potato,181.79,578,78,8,21,13,500,Low
Sri Lanka,2024-05-08,Cauliflower,136.93,230,197,2,24,22,33,Low
Sri Lanka,2024-03-03,Cabbage,51.79,194,314,16,26,10,-120,Low
India,2024-01-28,Cauliflower,92.45,296,63,10,16,6,233,Low
Sri Lanka,2024-04-30,Cauliflower,83.48,203,179,5,11,6,24,Low
Sri Lanka,2024-08-09,Okra,93.56,313,339,9,12,3,-26,Medium
India,2024-05-27,Potato,177.09,547,226,11,25,14,321,Low
India,2024-06-24,Cabbage,43.14,118,357,8,28,20,-239,Low
Sri Lanka,2024-05-14,Tomato,184.87,336,125,2,18,16,211,Low
India,2024-03-23,Carrot,71.34,66,437,13,24,11,-371,Low
India,2024-10-29,Brinjal,43.51,479,126,16,17,1,353,High
India,2024-06-10,Cauliflower,74.3,506,363,21,26,5,143,Medium
Sri Lanka,2024-01-13,Potato,79.44,493,233,20,26,6,260,Low
India,2024-05-11,Carrot,96.35,51,41,13,27,14,10,Low
India,2024-04-27,Potato,159.64,317,212,14,27,13,105,Low
Sri Lanka,2024-06-09,Tomato,104.42,92,223,4,13,9,-131,Low
Sri Lanka,2024-06-26,Beans,136.31,462,463,1,14,13,-1,Low
Sri Lanka,2024-11-15,Green Chilli,27.87,158,398,2,12,10,-240,Low
Sri Lanka,2024-07-26,Tomato,151.02,348,97,4,13,9,251,Low
India,2024-04-08,Carrot,64.06,490,499,8,25,17,-9,Low
India,2024-12-23,Cabbage,44.8,60,486,2,10,8,-426,Low
Sri Lanka,2024-02-14,Cauliflower,45.76,493,445,3,16,13,48,Low
India,2024-06-23,Beans,33.77,460,439,21,23,2,21,Medium
India,2024-08-11,Cauliflower,33.92,383,70,6,17,11,313,Low
India,2024-11-09,Brinjal,26.73,145,320,12,18,6,-175,Low
Sri Lanka,2024-01-11,Brinjal,88.8,139,161,0,18,18,-22,Low
Sri Lanka,2024-02-01,Green Chilli,83.23,381,309,16,18,2,72,Medium
Sri Lanka,2024-06-19,Carrot,31.13,239,89,22,23,1,150,High
India,2024-04-16,Cabbage,197.62,133,103,2,13,11,30,Low
India,2024-08-28,Carrot,168.73,214,276,5,14,9,-62,Low
India,2024-05-28,Onion,117.53,70,381,4,23,19,-311,Low
Sri Lanka,2024-12-03,Brinjal,53.19,474,478,0,23,23,-4,Low
India,2024-05-12,Beans,50.97,440,362,12,16,4,78,Medium
India,2024-08-10,Brinjal,50.2,410,253,2,6,4,157,Medium
India,2024-04-03,Carrot,77.62,504,107,4,7,3,397,Medium
India,2024-04-28,Okra,160.13,441,312,11,26,15,129,Low
Sri Lanka,2024-07-08,Cabbage,63.95,315,289,5,8,3,26,Medium
Sri Lanka,2024-06-26,Beans,101.5,520,160,7,10,3,360,Medium
India,2024-04-24,Beans,96.68,282,426,6,13,7,-144,Low
India,2024-10-24,Cabbage,196.54,431,474,25,26,1,-43,Medium
Sri Lanka,2024-02-08,Tomato,134.96,496,215,3,6,3,281,Medium
India,2024-11-17,Beans,40.35,131,480,11,25,14,-349,Low
India,2024-11-09,Cabbage,56.52,179,287,3,9,6,-108,Low
Sri Lanka,2024-10-29,Okra,55.92,201,163,14,17,3,38,Medium
Sri Lanka,2024-11-11,Cabbage,31.85,469,301,2,23,21,168,Low
Sri Lanka,2024-01-02,Brinjal,108.35,582,454,6,8,2,128,High
Sri Lanka,2024-04-20,Potato,123.44,96,454,12,25,13,-358,Low
India,2024-11-22,Brinjal,35.08,593,381,12,23,11,212,Low
India,2024-10-09,Green Chilli,169.13,595,217,4,17,13,378,Low
India,2024-10-01,Okra,125.28,351,314,4,25,21,37,Low
India,2024-02-08,Green Chilli,38.05,280,395,10,19,9,-115,Low
Sri Lanka,2024-11-12,Brinjal,84.54,362,272,4,18,14,90,Low
Sri Lanka,2024-05-09,Green Chilli,153.71,368,392,2,25,23,-24,Low
Sri Lanka,2024-02-09,Okra,96.02,232,480,7,21,14,-248,Low
India,2024-10-29,Beans,26.48,482,128,2,8,6,354,Low
Sri Lanka,2024-12-25,Cauliflower,79.75,246,409,1,17,16,-163,Low
Sri Lanka,2024-07-20,Green Chilli,76.49,304,327,6,14,8,-23,Low
India,2024-12-27,Cauliflower,70.15,486,176,18,22,4,310,Medium
India,2024-10-21,Okra,108.1,394,388,1,7,6,6,Low
Sri Lanka,2024-02-21,Brinjal,58.66,207,290,2,29,27,-83,Low
Sri Lanka,2024-07-02,Beans,158.55,54,99,6,7,1,-45,Medium
Sri Lanka,2024-08-31,Carrot,98.2,291,315,12,29,17,-24,Low
India,2024-07-22,Brinjal,106.72,579,123,24,25,1,456,High
India,2024-03-18,Tomato,81.06,329,413,24,28,4,-84,Medium
India,2024-12-24,Cauliflower,127.34,186,132,24,25,1,54,Medium
Sri Lanka,2024-01-10,Tomato,132.14,75,284,1,11,10,-209,Low
Sri Lanka,2024-03-09,Tomato,177.76,257,497,1,20,19,-240,Low
Sri Lanka,2024-01-30,Beans,161.33,290,280,9,13,4,10,Medium
Sri Lanka,2024-12-30,Tomato,24.33,500,178,22,29,7,322,Low
Sri Lanka,2024-05-24,Tomato,173.19,144,31,1,19,18,113,Low
Sri Lanka,2024-11-08,Potato,160.0,295,377,6,20,14,-82,Low
India,2024-01-12,Potato,65.33,427,54,4,8,4,373,Medium
India,2024-03-12,Brinjal,165.47,294,129,2,14,12,165,Low
India,2024-07-10,Okra,65.18,483,57,13,22,9,426,Low
India,2024-05-26,Okra,22.21,120,162,6,8,2,-42,Medium
Sri Lanka,2024-10-22,Tomato,77.85,242,191,9,16,7,51,Low
India,2024-12-18,Beans,30.24,103,349,6,7,1,-246,Medium
Sri Lanka,2024-09-04,Potato,52.5,566,144,8,11,3,422,Medium
India,2024-05-02,Cauliflower,115.98,63,317,4,15,11,-254,Low
Sri Lanka,2024-07-28,Beans,176.33,110,200,8,17,9,-90,Low
